text,class
"Рядом с домом,цены приемлемые,нет очередей больших",1
Грязновато. Тесновато. Грустновато.,0
Цены хорошие,1
"Большой выбор продукции, чисто. Понятная логистика товаров. Приветливый персонал ",1
"Отличный магазин! Было все что мне нужно! Чисто, просторно, свободно и вежливый кассир. Жаль что нет свежего мяса. Но, было то, чего нет в других магазинах.",1
"Купил чипсы с крабом, в следующий раз куплю с кальмаром",1
"Очереди огромны, персонал занят своими делами, в телефонах, товар как везде.",0
Достаточно просторный магазин.,1
"Отличный магазин, где есть всё необходимое, чтобы не надо было еще куда-то ходить. Большой выбор всего).",1
"Пятерка стала заметно лучше, самое приятное что касса самообслуживания не спрашивает маску!
Пакеты до сих пор прячут надо их искать",1
Персонал хороший скидки  кассы удобно,1
Супер магазин!!!,1
"Хороший магазин, чисто, свежие продукты. Особенно нравится фермерская лавка внутри, большой выбор вкусных сыров и мясной продукции по доступной цене.",1
"Очень давно закупаю продукты, корма для животных, хозтовары в этом филиале пятерочки. Светло, чисто. Есть терминалы самообслуживания.",1
тоже супер как и все,1
"Выбор, как во всех 5ках. Один большой -. Нет камер хранения ",0
Персонал. Качество товаров.,0
"Очень тесный магазин, вошли 2-3 человека, сразу ощущение толпы. Кассы располагаются неудобно. Ассортимент обычный, но лишний раз приходить сюда не захочется.",0
"Неплохой магазин с средним ассортиментом, довольно удобно по пути из метро, парковки фактически нету.",1
Супер,1
"Цены,бомба,низкие!!!",1
Отлично по сравнению с другими Пятерачками.,1
"Обожаю это магазин. Свежие овощи и фрукты, все по доступным ценам. Не такой богатый ассортимент как в Ленте, но это маназин рядом с домом.",1
"Очень извилистый проход на кассы,которых всего две. Узкий коридор-очень тесный магазин.",0
"Шик магазин. Товара и скидок предостаточно. Жаль не круглосуточно работает, а выручало бы на раз-два. ",1
Хороший магазин.,1
"Хороший местный магазин. Продукты, но есть и бытовая химия. Даже туалетная бумага.",1
Боле менее,0
"Обычная пятёрочка. Кассир на кассе пытался обмануть. Включил в Чек большее количество товара, чем я взял. Будте осторожнее. Проверяйте чек не отходя от кассы.",0
ОТЛИЧНАЯ ПЯТЕРОЧКА. Всегда чисто и аккуратно. Доброжелательные и приветливые сотрудники. Ценники всегда актуальные. Всегда приятно посещать данную торговую точку. ,1
"Производил ремонтные работы, персонал Магазина  хорошие и веселые ребята.",1
"Парковка маленькая, магазин маленький, но цены и скидки  всегда приемлимые,хороший персонал",1
Отличный,1
"Неплохой ассортимент, но половина продавцов не умеют ни здороваться, ни прощаться.",1
Ассортимент и качество в целом устраивают.,1
"Расположение, выбор товаров, чистота, быстрое обслуживание, спокойное без суеты",1
Столкнулась не один раз с хамовитыми кассиршами . Нет желания посещать этот магазин,0
"Хорошая пятерочка,все есть,но мало касс,часто отсутствуют замороженные продукты",1
Хороший магазин. Нового формата,1
Огромный центр с множеством магазинов на любой вкус. Но посещаю исключительно из-за Ашана.Зашла и сразу всё что нужно купила от батона до га... на.,1
У нас самая лучшая пятёрочка!,1
"Хотелось бы видеть вежливых сотрудников,и вообще видеть их ,особенно на кассе,часто не правильные ценники и просрочка,но это для пятёрки норма",0
"Чисто, просторно, нужные товары есть. А что ещё нужно магазину у дома?",1
Спасибо за заботу,1
"Обыкновенная""5' не хуже и не лучше других таких же",1
"Пятюня у дома это и есть - пятюня у дома. В общем можно найти почти все, что тебе может понадобится из повседневных покупок. Приветливый персонал. Есть пандус. 
",1
"Магазин хороший, рекомендую. Ассортимент приличный.",1
"Хороший коллектив, хорошее обслуживание.",0
Очередной магазин как и везде,1
"Не самая чистая пятёрочка, необходимый минимум есть.",0
Хороший и удобный магазин. Очень чистый. Персанал доброжелательный. ,1
Очень маленькая. Зато близко,1
"Много скидок, внутри есть аптека, большой и удобный магазин",1
прикольно,1
"Отличный магазин, приветливый персонал, нет очередей, хороший ассортимен ",1
"Есть терминалы для самооплаты без кассира, но только банковской картой. Удобно",1
Магазин работники харошей. Деректор ненормальный злая очень плахой,0
"Грязь,очереди на кассах.Хамят",0
"Магазин нравиться,скидки регулярные,персонал вежливый.Иногда бывает путаница с ценниками.",1
"Очень хорошая пятёрочка стала после ремонта , а главное , удобно ходить с коляской и есть кассы самообслуживания",1
Очень хороший магазин. Рекомендую,1
"Якобы по тех. причинам не списывтся баллы, которые имеются на карте.",0
"Отличный магазин! Очередей нет. Персонал вежливый. Цены соответствуют! После ремонта появился Свежевыжатый сок, Кофе, свежая выпечка!",1
"Очень хорошая пятерочка, всегда чисто, нету просроченных товаров и максимально адекватный и добрый персонал. Советую для посещения)",1
"Отличный ,чистый магазин 
С хорошими сотрудниками)",1
"Стандартный магазин, нечем не выделяется из сети. Продукты такие же как и везде, кассы самообслуживания, даже есть небольшая парковка.",1
"Так себе, как и все пятёрки, фрукты из пластика, цены как у южан (((((👎😱",0
"Очень хороший магазин, рекомендую всем. Большой выбор и качественные товары, всегда там покупаю и близко от дома и продавцы очень внимательные.",1
"Хороший магазин,плохо что не всегда можно найти работника зала!",1
Небольшой магазинчик в котором можно найти все необходимое. Единственно что омрачает-это неудобное расположение кассовой зоны.,1
"Неплохая альтернатива у дома,мало народа,есть всё необходимое",1
За последний год качество магазина ухудшилось.,0
"Меньше народу чем на ладожской 6, парковка неудобная(маленькая) в остальном все нормально.",1
Постоянно обсчитывпют покупателей,0
"Классическая пятерочка на первом этаже и много салонов,  спортивных и игровых секций на других этажах.
Эдакий дом быта",1
Пятёрочка выручает!,1
Как и везде,0
Грязь просрочка,0
Хороший магазин все красиво,1
"Очень уютный,чистый,светлый магазин, с отзывчивый персоналом!!!",1
Все нормально. Но часто можно встретить выпивших!,1
Всегда работает одна касса,1
"Ремонт хороший , но вот работа оставляет желать лучшего. Наполнение плохое, выбора хлеба небольшой. Молочка тоже так себе выбор. Персонал хамоватый.",0
Зашла случайно. Понравилось обслуживание.,1
Отличный магазин. Всегда приветливые сотрудники) ,1
"Удобный магазин, под боком.",1
"Прекрасный магазин, персонал заслуживает премию, добрый и отклик левый. Хорошо оставляющий",1
"Уже писала про выпечку, которую выкладывают страшными перчатками, ничего не изменилось. Её здесь не покупаю.",0
"Стандартная ""Пятёрочка"", удобное расположение",1
"Обычная Пятёрочка. Всё в порядке, проблем не встретил.",1
"Проверяйте цены на кассе, очень много не соответствует",0
"Почему то всегда один кассир,а так стало гораздо приятнее в магазине( не была целый год).",1
"Нормальный магазин, мало чем отличается от остальных пятерок",1
"Супер,все хорошо, доступно,приветливость и доброжелательный",1
"Магазин отличный, персонал замечательный, вежливый и всегда подскажет если надо!)",1
"Не все пятерочки идеальны ,хожу только в одну на Школьной 2 ",1
"Очень хороший магазин,всегда выбор свежих овощей и фруктов. Вежливый и гостеприимный персонал. В магазине всегда чисто.",1
"Неплохой магазин, большой, удобно ходить и выбирать товар. Вкусная и свежая кулинария (булочки). Но много очень детей, особенно после урочное время, шумно.)
",1
Хороший магазин.,1
Ffogof Bangor to us to us up if DJ ye do it Yoshi tu pd if too to using good ox,0
"Противный магазин, как и все в этой сети! Нет камер хранения, дорого.  За год с трудом 100 руб накапливаю балами.",0
"Отличный магазин с хорошим ассортиментом, овощи и фрукты👍 один из немногих в центре по более менее доступным ценам, ну и есть еще выпечка.",1
"Хороший магазин, много что есть, только мало места.",1
"Хороший магазин. Всегда есть акции, можно оплатить балами спасибо.",1
малолеткам пиво не продают ,0
Медленно работают кассиры,0
"Да в общем все как везде, только рядом с домом!👍",1
"Очень грязные корзинки, не возможно положить еду в них",0
"Магазин пора приводить в порядок, сделать ремонт и кассы самообслуживания !!!",0
хороший магазин,1
"Заказывала 2 раза здесь доставку,всё хорошего качества и быстро привезли.",1
"Отличная Пятерочка! Чисто, свежие продукты, нет очередей.",1
"Магазин хороший и рядом. Вежливые кассиры, продукты питания по-разному бывает, есть свежие, есть не очень. Самому надо смотреть срок годности и свежесть. Мне нравится.",1
"Хорошая Пятёрочка, чистая, все можно купить",1
норм,0
Написанно до 23:00 а по факту до 22:00,0
Музей супер... Всем советую. Понравилось и детям и взрослым,1
Какиз пять звёзд это же пятерочка,0
"В этот магазин лучше не ходить. Плохие продавцы, плохая администрация, особенно!!! Очень плохая!!!! ",0
"Довольно широкий ассортимент среди пятерочек. Чисто, аккуратно.",1
"Приветливый персонал. Чисто, качество товаров на высоте. Отличный магазин. Большой выбор товаров. Цена умеренная. Скидки, акции. Всё хорошо",1
"Вроде вкусная фасоль, дорогие энергетики.
",1
Это было чудесно я сходил за покупками но камера хранения платная,1
"Приличный, чистый магазин",1
"Последнее время довольно большими темпами развивается.Цены хорошие,товар хороший,персонал хороший. Только  на входе воняет канализаций.",1
"Хорошая пятёрочка чистая, только пирожки стали невкусные производство, черствые, ",1
"Пятёрочка, как Пятёрочка! Ремонт это хорошо! А с выкладкой товара и ценниками, как обычно, большая проблема!",1
"После ремонта стало намного лучше, чище.
В кассе самообслуживание не хватает оплаты наличными.",1
Убрать из магазина продавцов с кожными заболеваниями.,0
Магазин хорошего качества. ,1
Очень хороший магазин! Какая здесь кулинария!!! Выпечка отличная. Этот магазин значительно отличается от других пятерочек. Он лучший!,1
"Пятёрочка как и тысячи Пятерочек по всей России. В этой 5-ке ни плохо, ни хорошо, там нормально. Так что абсолютно нейтральные пять звёзд я ставлю с чистой совестью.",1
"Не очень чисто, фрукты и овощи всегда вялые, не очень хорошего качества, очень недобное расположение товара, маленькое пространство.",0
"Большой ассортимент, быстрое обслуживание
",1
"Прекрасный коллектив, доступные цены, чисто, уютно. Радует очи то, что тавары всегда на своем месте. ТВЕРДАЯ П- ЯТЬ!!!",1
"Пятёрочка как и все. Разве эта почище, больше и продавцы от покупателей не устали :)",1
"Отзывчивый персонал.Большой, просторный ,чистый,светлый магазин.",1
Бесконечные скандалы на кассах из-за неверных ценников в зале. Ужас. Потеря времени на выяснения отношений и возврат денег!,0
"Топ .
",1
"""Пятёрочка"" она везде Пятерочка. Но без нее здесь бы было грустно))",1
"Ассортимент товаров не устраивает.Зачастую нет даже ходовых овощей:свеклы,лука и пр.",0
Господи когда же там будет порядок и гнилое все уберут и очереди достали! И пакеты для фасовки стали очень плохие 1 кг картошки они не могут выдержать!,0
Все чиста и аккуратно,1
Чисто. Персонал вежливый.,1
Маленький ассортимент товара,1
После ремонта стало намного лучше,1
"Маленький ассортимент, пусто",0
тесновато. магазин спрятан от глаз прохожих. цены радуют.  все меньше и меньше остается конкурентов у этого магазина в районе.,1
"Есть кассы самообслуживания, чисто, очередей нет, базовый набор продуктов имеется.",1
"Отличный магазин. Ассортимент хороший, всегда можно купить, что нужно. Отзывчивый персонал, всегда помогут",1
"В этой 5ке персонал более менее постоянный, чисто, продукты смотрят, выкладывают по мере как заканчиваются на прилавке",1
Хороший магазин. Вежливый и отзывчивый персонал. Всегда свежие товары.,1
Грязно и воняет.,0
"Очень тесно. 
Но тот факт, что рядом, спустился из квартиры и купил всё, что необходимо, нивелирует это неудобство.",1
"Персонал не очень..выбор товаров маленький,чистота на полках..не очень хороша,распоженеие нормальное в середине села ,кассы маленькие",0
"Ужасный персонал . Постоянно маты , грубое не уважительное отношение. Грязный магазин . ",0
Новый магазин. Хороший ассортимент. Не удобные кассы,1
"После ремонта очень удобно стало, советую посетить и вы не растроитесь,продавцы умнички,знают своё дело и",1
"Не большой , мало приметный магазинчик, тем не менее все достаточно уютно и удобно.",1
Не очень мне нравится этот магазин. Как-то не очень чисто в нем и выкладка товара на троечку,1
Очень грубый кассир.,0
Меня здесь снова обманули на кассе. проверяйте что пробили и что выдали вам. Мелкое воровство.,0
Просрочегные продукты ,0
"Сейчас гораздо лучше,сменили коллектив на более приветлевых ,ну и нет тех мигрантов,которые не умели себя вести с покупателями",1
"Мало народу,нет очередей ",1
"Хорошая Пятерочка. Рядом располагается начальство, поэтому там всегда чисто и без просрочки. Есть аптека внутри.
Отремонтировали под новый формат. Стало еще лучше",1
"Хороший персонал, чисто, цены актуальные, почти нет очередей. Есть кофе машина с неплохим кофе с собой :)",1
Мне понравилось ,1
Магазин хорош товару много разного это очень хорошо но подыматься по ступенькам тяжеловато,1
От старлайна не далеко,1
"Чистый, опрятный магазин, всегда выручает продуктами, выбор хороший",1
"Рядом у дома.
Персонал разный,.
Качество товаров тоже разное... больше всего огорчают овощи!!
Очень часто несвежие и замороченные
Иногда отсутствуют ценники.",1
Гадюшник с высокими ценами и просроченным товаром. Больше сказать не чего. ,0
"Вполне на уровне стандартного сетевого супермаркета. Набор продуктов, обслуживание... особо и отметить нечего. Все хорошо, но не более того",1
"Хороший магазин, большой выбор необходимых товаров, вежливый персонал.",1
"Вполне хороший магазин, все всегда есть, сотрудники тоже очень вежливые)",1
"Удобно, у дома. Есть всё необходимое",1
Нормальная такая пятёрка. Очереди не часто,1
"Всегда приятно зайти, с очередями проблемы случаются редко. Если возникают проблемы, быстро решают",1
"Пятерочка такая же как все, хорошо , что рядом с домом теперь есть . выбор большой основных продуктов, цены как везде в таких магазинах.",1
Чисто. Просрочку не встречала. Ассортимент как и везде,1
"Очень приветливые продавцы, работники зала всегда готовы помочь вам, рекомендую ",1
Нормальный магазин. Опрятный и средние цены. ,1
Отличный персонал,1
"После ремонта приятно зайти, но, иногда попадаю на смену очень неприятных сотрудников именно этого магазина. Хамят и вечно недовольны.",0
"Хороший,чистый магазин,вежливый персонал",1
"Удобно при выезде из Никольского, есть где остановиться на машине.",1
Пятёрочка как пятёрочка ни чем от других не отличаеться.,1
Кассы самообслуживания. Хоз.товары находятся на этаже минус 1.,1
"Широкий ассортимент, приемлемые цены, вежливый персонал. Удобное расположение",1
"Чисто, аккуратно, но мало персонала! В принципе для повседневных мелочей вполне!",1
"Всё понравилось, ассортимент, цены, есть маленькое замечание, на кассе должны работать по расторопнее сотрудники",1
Наэлектризованный классе работает не худая девушка вечно старикам хамит в магазине самая не красивая девушка ,0
"Хорошая атмосфера, приятный персонал, скидки, всегда в наличии нужное",1
"Нахамили очень, Лучше не общаться с персоналом, купил капусту борщ сварить, нечего кушать. Пакетик нужен? ААААААаааааааааааааааааааааа ",0
"Вежливый персонал. Кассиры запоминают покупателей, это приятно.",1
Не очень приятное место,0
"Большое пространство это хорошо, а люди то где? Ау! Ну и как всегда неразбериха на полках с ассортиментом. Хотя эта беда всех""пятёрок"".",0
"Хорошее место, круассаны вкусные
Но мясо тухловато, поэтому твердая четверОчка",1
"Почти каждый день делаем возврат, ценники не совпадают, что пробито в чеке",1
Суппер,1
Персонал вежливый. Большой выбор товаров. Мало касс. Чисто. Постоянные акции и скидки. Не удобная маленькая парковка,1
"Самая лучшая Пятёрочка на планете земля в солнечной галактике)) Конечно же оценка не ретейлеру, а лично персоналу! Ребята вы лучшие!",1
"Очень хороший магазин, чисто , приветливый персонал , свежие овощи и фрукты,  порядок на полках.
Свежая выпечка.
Есть кассы самообслуживания , это очень удобно ",1
Рядом с домом. Просторный магазин. Скидки.,1
"Это трэш! Ценники не поменяли и каждую позицию кассир холил и проверял, так как на кассе товар был по другой цене! Итог: куча потраченного времени и нервов.",0
"Военторг пятерочка...удобен ,рядом с домом/и что могу добавить -цены вполне подходящие/",1
Персанал злыдни.......(хоть и меняются) Строют из себя богов..... Хомят.......,0
"Большой, хороший магазин!  Но слышать узбекскую или таджикскую речь от персонала магазина не очень то и приятно, но это лично моё мнение",1
Выбор товаров небольшой. Конфеты недорогие.,0
Есть все что нужно для дома.,1
"Удобный магазин, чистый, есть пандус чтобы подняться с детской коляской, в магазине есть банкомат",1
"Магазин всегда чистый и продавцы всегда готовы помогать.
Жду новогодних  украшений, всегда тут покупаю ",1
"Обычная пятёрочка. Всё есть, так что спокойно из дома можно зайти сюда и купить что-то по-быстрому. Нормальный магазин, чистый и простой.",1
Обычная пятерочка,1
"Просторный магазин. Можно спокойно выбирать продукты и не мешать другим. Но ассортимент изменился в худшую сторону. Надеюсь, это временно. ",1
Крутая штука,1
"Раньше здесь были отличные кассы самообслуживания, пока их не обновили( Теперь эти кассы зависают, приходится перепробивать покупки по несколько раз. ",0
Люблю там скидочки🌞,1
"Большой выбор товаров, постоянные нововведения и акции. Просроченых продуктов не было, за вск время покупкок. Персонал отзывчивый, вежливый",1
"Все гуд,но одна из продавщиц-возрастная не умная женщина,регулярно портящая настроение с утра",0
"Хороший магазин.Культурный персонал,не указ сотрудникам Ленты.",1
Все хорошо.,1
Выпечка улёт. молодцы,1
Отличная 5-ка.,1
"Чистая хорошая Пятерка рядом с домой , все чистое , хороший выбор продуктов и овощей",1
"До 7.30 в магазин вообще не попасть. С 7.00 стоят на улице, вечно курят, а посетителей не принемают🤬🤬🤬",0
"Был в гостях у сестры. Нормальный магазин, не хуже нашего через дорогу. ",1
Вежливый персонал,1
Самый лучший магазин  персонал добрый,1
"Всё хорошо, вот только не все кассы работают, приходится долго стоять в очереди.",1
Стандартный сетевой магазин. Ничего нового и необычного.,0
"Вполне себе приличный, повседневный магазин.",1
"Хороший магазин, но несколько тесненький",1
Всё что нужно было нашол.,1
"Вечно полупустая торговая площадь, на которой постоянно что-то переставляют продавцы.
И почему-то постоянно где-то что-то течёт на полках....",0
Хороший магазинчик. На каждый день нормально.,1
"Персонал, кассы работают по количеству народа",1
Полу пустой магазин всегда,0
"""Пятёрочка"" как ""пятёрочка"")
Ничего необычного.",0
"Он рядом с домом, и ассортимент хороший.",1
Большой выбор,1
"Здесь всегда очень чисто, после ремонта стало вообще супер, всегда все свежее) в общем, всегда сюда хожу и вам советую. Удобно, что есть банкомат сбера.",1
Удобно,1
"Отказались обслуживать за наличку
Предложили пойти в другой магазин
И вам советую)",0
Магазин большой и светлый! Ещё бы побольше интересных предложений и акций.,1
"Хороший ассортимент, вежливые продавцы, чисто",1
"Хороший магазин. Одна из лучших ""Пятёрочек"". Но почему то не списывают накопленные баллы...",1
"Большие очереди, мало касс. Касса самообслуживания иногда зависает.",0
"Ассортимент, как и магазин- мал.",0
"Как в любой пятёрочке... Поразительный персонал... (В хорошем смысле)
",1
"Маленькая,чистая. Очередей особо нет,есть кофейный автомат.",1
нормальная пятерочка,1
"Хорошая пятёрочка, находящаяся в ТЦ Орловский. У входа есть банкоматы. Очереди обычно не большие.",1
"Всё отлично, хорошие, вежливые сотрудники.
В магазине чисто. Весь необходимый товар есть.
",1
Кассы самообслуживания - очень удобно,1
"Продукты хорошие, всё в самом деле чисто и прибрано. К сотрудникам только приятные ощущения.",1
Классная сеть,1
"Приятный персонал 
",1
"Удобно для жителей. Уж не знаю как тем, кто живет совсем рядом. Внутри небольшой лабиринт, но думаю что привыкнуть не проблема",1
"Всё неплохо: и выбор товаров, и чистота, и персонал, но почините уже входную дверь",1
"Мне очень нравится , именно этот магазин в посёлке Кузьмолово",1
"Качество обслуживания не плохое, ассортимент достойный, хотя бывали случаи не находил нужного. Но это из разряда завышенных требований к магазинам у дома.",1
